"",BBK01.WZ9818,BBK01.WZ9818_FLAGS
"",Term structure of interest rates on listed Federal securities (method by Svensson) / residual maturity of 6.0 years / end of month,
unit,PROZENT,
unit multiplier,one,
last update,2018-05-02 14:39:40,
1972-09,7.74,
1972-10,8.25,
1972-11,8.37,
1972-12,8.42,
1973-01,8.45,
1973-02,8.33,
1973-03,8.52,
1973-04,8.75,
1973-05,9.49,
1973-06,9.59,
1973-07,9.84,
1973-08,9.40,
1973-09,9.56,
1973-10,9.38,
1973-11,9.37,
1973-12,9.43,
1974-01,9.41,
1974-02,10.12,
1974-03,10.22,
1974-04,10.19,
1974-05,10.63,
1974-06,10.51,
1974-07,10.59,
1974-08,10.52,
1974-09,10.60,
1974-10,10.56,
1974-11,9.96,
1974-12,9.62,
1975-01,8.93,
1975-02,8.73,
1975-03,8.82,
1975-04,8.49,
1975-05,8.35,
1975-06,8.31,
1975-07,8.31,
1975-08,8.29,
1975-09,8.28,
1975-10,8.55,
1975-11,8.53,
1975-12,8.48,
1976-01,8.22,
1976-02,8.02,
1976-03,7.81,
1976-04,7.93,
1976-05,8.25,
1976-06,8.27,
1976-07,8.38,
1976-08,8.19,
1976-09,8.00,
1976-10,7.81,
1976-11,7.50,
1976-12,7.41,
1977-01,7.23,
1977-02,7.17,
1977-03,6.66,
1977-04,6.35,
1977-05,6.33,
1977-06,6.28,
1977-07,6.03,
1977-08,5.88,
1977-09,5.87,
1977-10,5.85,
1977-11,5.85,
1977-12,5.69,
1978-01,5.50,
1978-02,5.31,
1978-03,5.32,
1978-04,5.44,
1978-05,5.56,
1978-06,5.76,
1978-07,6.22,
1978-08,6.12,
1978-09,6.08,
1978-10,6.19,
1978-11,6.40,
1978-12,6.48,
1979-01,6.72,
1979-02,6.93,
1979-03,7.01,
1979-04,7.29,
1979-05,7.82,
1979-06,7.87,
1979-07,7.58,
1979-08,7.46,
1979-09,7.51,
1979-10,8.04,
1979-11,7.80,
1979-12,7.85,
1980-01,8.15,
1980-02,8.93,
1980-03,9.80,
1980-04,8.91,
1980-05,8.28,
1980-06,7.96,
1980-07,7.73,
1980-08,7.99,
1980-09,8.32,
1980-10,8.62,
1980-11,8.67,
1980-12,8.97,
1981-01,9.26,
1981-02,10.50,
1981-03,10.08,
1981-04,10.29,
1981-05,11.05,
1981-06,10.62,
1981-07,10.97,
1981-08,11.20,
1981-09,10.69,
1981-10,10.32,
1981-11,9.68,
1981-12,9.75,
1982-01,9.77,
1982-02,9.72,
1982-03,9.28,
1982-04,8.75,
1982-05,8.82,
1982-06,9.39,
1982-07,9.19,
1982-08,8.82,
1982-09,8.52,
1982-10,8.14,
1982-11,8.12,
1982-12,7.79,
1983-01,7.80,
1983-02,7.62,
1983-03,7.48,
1983-04,7.61,
1983-05,8.07,
1983-06,8.07,
1983-07,8.23,
1983-08,8.44,
1983-09,8.26,
1983-10,8.07,
1983-11,8.21,
1983-12,8.19,
1984-01,8.24,
1984-02,7.97,
1984-03,8.01,
1984-04,8.05,
1984-05,8.20,
1984-06,8.11,
1984-07,8.14,
1984-08,7.79,
1984-09,7.64,
1984-10,7.33,
1984-11,7.08,
1984-12,7.05,
1985-01,7.24,
1985-02,7.59,
1985-03,7.41,
1985-04,7.25,
1985-05,7.10,
1985-06,6.95,
1985-07,6.66,
1985-08,6.37,
1985-09,6.33,
1985-10,6.76,
1985-11,6.60,
1985-12,6.41,
1986-01,6.39,
1986-02,6.02,
1986-03,5.76,
1986-04,5.54,
1986-05,6.00,
1986-06,5.92,
1986-07,5.81,
1986-08,5.62,
1986-09,5.92,
1986-10,6.15,
1986-11,5.94,
1986-12,5.93,
1987-01,5.73,
1987-02,5.79,
1987-03,5.54,
1987-04,5.46,
1987-05,5.38,
1987-06,5.78,
1987-07,5.94,
1987-08,6.13,
1987-09,6.42,
1987-10,6.22,
1987-11,5.91,
1987-12,5.99,
1988-01,5.91,
1988-02,5.71,
1988-03,5.75,
1988-04,6.03,
1988-05,6.16,
1988-06,6.24,
1988-07,6.53,
1988-08,6.52,
1988-09,6.27,
1988-10,5.95,
1988-11,6.19,
1988-12,6.35,
1989-01,6.67,
1989-02,7.03,
1989-03,6.95,
1989-04,6.89,
1989-05,7.09,
1989-06,6.88,
1989-07,6.70,
1989-08,6.94,
1989-09,7.17,
1989-10,7.33,
1989-11,7.68,
1989-12,7.60,
1990-01,8.09,
1990-02,8.95,
1990-03,8.74,
1990-04,9.06,
1990-05,8.99,
1990-06,8.90,
1990-07,8.65,
1990-08,9.10,
1990-09,9.27,
1990-10,9.11,
1990-11,9.06,
1990-12,9.08,
1991-01,8.92,
1991-02,8.54,
1991-03,8.69,
1991-04,8.56,
1991-05,8.41,
1991-06,8.67,
1991-07,8.89,
1991-08,8.65,
1991-09,8.63,
1991-10,8.63,
1991-11,8.56,
1991-12,8.32,
1992-01,7.99,
1992-02,7.93,
1992-03,8.14,
1992-04,8.15,
1992-05,8.09,
1992-06,8.20,
1992-07,8.32,
1992-08,8.18,
1992-09,7.69,
1992-10,7.25,
1992-11,7.19,
1992-12,6.98,
1993-01,6.86,
1993-02,6.40,
1993-03,6.42,
1993-04,6.54,
1993-05,6.60,
1993-06,6.44,
1993-07,6.29,
1993-08,5.98,
1993-09,5.87,
1993-10,5.60,
1993-11,5.50,
1993-12,5.32,
1994-01,5.41,
1994-02,6.01,
1994-03,6.16,
1994-04,6.49,
1994-05,6.74,
1994-06,6.86,
1994-07,6.82,
1994-08,7.12,
1994-09,7.44,
1994-10,7.45,
1994-11,7.32,
1994-12,7.59,
1995-01,7.37,
1995-02,7.21,
1995-03,6.90,
1995-04,6.73,
1995-05,6.26,
1995-06,6.74,
1995-07,6.53,
