"",BBK01.WZ9822,BBK01.WZ9822_FLAGS
"",Term structure of interest rates on listed Federal securities (method by Svensson) / residual maturity of 8.0 years / end of month,
unit,PROZENT,
unit multiplier,one,
last update,2018-05-02 14:39:40,
1972-09,7.95,
1972-10,8.32,
1972-11,8.48,
1972-12,8.59,
1973-01,8.65,
1973-02,8.47,
1973-03,8.60,
1973-04,8.79,
1973-05,9.55,
1973-06,9.74,
1973-07,9.83,
1973-08,9.41,
1973-09,9.57,
1973-10,9.39,
1973-11,9.53,
1973-12,9.66,
1974-01,9.55,
1974-02,10.31,
1974-03,10.39,
1974-04,10.35,
1974-05,10.73,
1974-06,10.90,
1974-07,10.99,
1974-08,10.87,
1974-09,10.93,
1974-10,10.81,
1974-11,10.27,
1974-12,9.88,
1975-01,9.28,
1975-02,9.18,
1975-03,9.28,
1975-04,8.85,
1975-05,8.71,
1975-06,8.64,
1975-07,8.64,
1975-08,8.61,
1975-09,8.63,
1975-10,8.89,
1975-11,8.71,
1975-12,8.62,
1976-01,8.46,
1976-02,8.31,
1976-03,8.16,
1976-04,8.30,
1976-05,8.64,
1976-06,8.62,
1976-07,8.71,
1976-08,8.48,
1976-09,8.22,
1976-10,8.01,
1976-11,7.64,
1976-12,7.59,
1977-01,7.40,
1977-02,7.35,
1977-03,6.89,
1977-04,6.57,
1977-05,6.61,
1977-06,6.57,
1977-07,6.37,
1977-08,6.28,
1977-09,6.24,
1977-10,6.22,
1977-11,6.20,
1977-12,6.07,
1978-01,5.90,
1978-02,5.69,
1978-03,5.65,
1978-04,5.80,
1978-05,5.84,
1978-06,6.00,
1978-07,6.40,
1978-08,6.28,
1978-09,6.25,
1978-10,6.43,
1978-11,6.60,
1978-12,6.69,
1979-01,6.97,
1979-02,7.17,
1979-03,7.21,
1979-04,7.47,
1979-05,7.95,
1979-06,7.98,
1979-07,7.65,
1979-08,7.49,
1979-09,7.47,
1979-10,8.03,
1979-11,7.79,
1979-12,7.85,
1980-01,8.12,
1980-02,8.92,
1980-03,9.77,
1980-04,8.90,
1980-05,8.23,
1980-06,7.96,
1980-07,7.75,
1980-08,7.98,
1980-09,8.30,
1980-10,8.59,
1980-11,8.65,
1980-12,8.95,
1981-01,9.18,
1981-02,10.40,
1981-03,9.88,
1981-04,9.99,
1981-05,10.60,
1981-06,10.24,
1981-07,10.45,
1981-08,10.60,
1981-09,10.32,
1981-10,10.12,
1981-11,9.66,
1981-12,9.68,
1982-01,9.73,
1982-02,9.68,
1982-03,9.24,
1982-04,8.69,
1982-05,8.78,
1982-06,9.33,
1982-07,9.08,
1982-08,8.84,
1982-09,8.48,
1982-10,8.14,
1982-11,8.10,
1982-12,7.81,
1983-01,7.95,
1983-02,7.72,
1983-03,7.64,
1983-04,7.78,
1983-05,8.20,
1983-06,8.10,
1983-07,8.27,
1983-08,8.53,
1983-09,8.34,
1983-10,8.28,
1983-11,8.37,
1983-12,8.32,
1984-01,8.35,
1984-02,8.15,
1984-03,8.22,
1984-04,8.24,
1984-05,8.36,
1984-06,8.27,
1984-07,8.30,
1984-08,7.96,
1984-09,7.84,
1984-10,7.52,
1984-11,7.27,
1984-12,7.24,
1985-01,7.39,
1985-02,7.76,
1985-03,7.47,
1985-04,7.41,
1985-05,7.23,
1985-06,7.14,
1985-07,6.95,
1985-08,6.58,
1985-09,6.56,
1985-10,6.94,
1985-11,6.79,
1985-12,6.59,
1986-01,6.60,
1986-02,6.19,
1986-03,5.92,
1986-04,5.70,
1986-05,6.17,
1986-06,6.06,
1986-07,5.99,
1986-08,5.80,
1986-09,6.15,
1986-10,6.40,
1986-11,6.11,
1986-12,6.12,
1987-01,6.01,
1987-02,6.13,
1987-03,5.82,
1987-04,5.78,
1987-05,5.75,
1987-06,6.21,
1987-07,6.36,
1987-08,6.54,
1987-09,6.86,
1987-10,6.54,
1987-11,6.34,
1987-12,6.48,
1988-01,6.46,
1988-02,6.21,
1988-03,6.24,
1988-04,6.52,
1988-05,6.66,
1988-06,6.65,
1988-07,6.87,
1988-08,6.80,
1988-09,6.55,
1988-10,6.25,
1988-11,6.48,
1988-12,6.58,
1989-01,6.74,
1989-02,7.01,
1989-03,6.99,
1989-04,6.89,
1989-05,7.07,
1989-06,6.86,
1989-07,6.67,
1989-08,6.90,
1989-09,7.08,
1989-10,7.22,
1989-11,7.55,
1989-12,7.48,
1990-01,7.99,
1990-02,8.89,
1990-03,8.62,
1990-04,9.02,
1990-05,8.93,
1990-06,8.86,
1990-07,8.63,
1990-08,9.09,
1990-09,9.28,
1990-10,9.10,
1990-11,8.97,
1990-12,9.08,
1991-01,8.77,
1991-02,8.43,
1991-03,8.59,
1991-04,8.39,
1991-05,8.30,
1991-06,8.53,
1991-07,8.74,
1991-08,8.46,
1991-09,8.43,
1991-10,8.42,
1991-11,8.33,
1991-12,8.09,
1992-01,7.83,
1992-02,7.76,
1992-03,7.91,
1992-04,7.96,
1992-05,7.92,
1992-06,8.03,
1992-07,8.10,
1992-08,8.00,
1992-09,7.56,
1992-10,7.24,
1992-11,7.18,
1992-12,7.02,
1993-01,6.91,
1993-02,6.56,
1993-03,6.60,
1993-04,6.70,
1993-05,6.77,
1993-06,6.61,
1993-07,6.47,
1993-08,6.14,
1993-09,6.08,
1993-10,5.83,
1993-11,5.78,
1993-12,5.61,
1994-01,5.69,
1994-02,6.28,
1994-03,6.46,
1994-04,6.78,
1994-05,7.07,
1994-06,7.12,
1994-07,7.09,
1994-08,7.38,
1994-09,7.66,
1994-10,7.66,
1994-11,7.51,
1994-12,7.73,
1995-01,7.52,
1995-02,7.40,
1995-03,7.25,
1995-04,7.08,
1995-05,6.66,
1995-06,7.12,
1995-07,6.92,
1995-08,6.80,
1995-09,6.77,
1995-10,6.54,
1995-11,6.26,
1995-12,6.05,
1996-01,5.90,
1996-02,6.45,
1996-03,6.47,
1996-04,6.32,
1996-05,6.44,
1996-06,6.59,
1996-07,6.41,
1996-08,6.40,
1996-09,6.11,
1996-10,6.04,
1996-11,5.74,
1996-12,5.82,
1997-01,5.76,
1997-02,5.46,
1997-03,5.83,
1997-04,5.76,
1997-05,5.87,
1997-06,5.60,
1997-07,5.45,
1997-08,5.64,
1997-09,5.48,
1997-10,5.59,
1997-11,5.52,
1997-12,5.30,
1998-01,5.04,
1998-02,4.91,
1998-03,4.91,
1998-04,5.11,
1998-05,4.92,
1998-06,4.84,
1998-07,4.69,
1998-08,4.24,
1998-09,4.01,
1998-10,4.15,
1998-11,4.00,
1998-12,3.87,
1999-01,3.63,
1999-02,3.99,
1999-03,3.98,
1999-04,3.77,
1999-05,4.03,
1999-06,4.53,
