"",BBK01.WZ9826,BBK01.WZ9826_FLAGS
"",Term structure of interest rates on listed Federal securities (method by Svensson) / residual maturity of 10.0 years / end of month,
unit,PROZENT,
unit multiplier,one,
last update,2018-05-02 14:39:40,
1972-09,8.08,
1972-10,8.36,
1972-11,8.55,
1972-12,8.73,
1973-01,8.84,
1973-02,8.62,
1973-03,8.74,
1973-04,8.82,
1973-05,9.62,
1973-06,9.85,
1973-07,9.87,
1973-08,9.42,
1973-09,9.58,
1973-10,9.41,
1973-11,9.67,
1973-12,9.83,
1974-01,9.65,
1974-02,10.52,
1974-03,10.52,
1974-04,10.46,
1974-05,10.78,
1974-06,11.22,
1974-07,11.30,
1974-08,11.17,
1974-09,11.17,
1974-10,10.97,
1974-11,10.48,
1974-12,10.04,
1975-01,9.49,
1975-02,9.46,
1975-03,9.57,
1975-04,9.06,
1975-05,8.77,
1975-06,8.74,
1975-07,8.71,
1975-08,8.71,
1975-09,8.85,
1975-10,9.09,
1975-11,8.60,
1975-12,8.53,
1976-01,8.54,
1976-02,8.34,
1976-03,8.28,
1976-04,8.53,
1976-05,8.88,
1976-06,8.84,
1976-07,8.92,
1976-08,8.67,
1976-09,8.35,
1976-10,8.14,
1976-11,7.65,
1976-12,7.76,
1977-01,7.42,
1977-02,7.39,
1977-03,7.08,
1977-04,6.75,
1977-05,6.86,
1977-06,6.83,
1977-07,6.63,
1977-08,6.56,
1977-09,6.50,
1977-10,6.50,
1977-11,6.44,
1977-12,6.34,
1978-01,6.27,
1978-02,6.05,
1978-03,5.97,
1978-04,6.05,
1978-05,6.06,
1978-06,6.19,
1978-07,6.54,
1978-08,6.42,
1978-09,6.39,
1978-10,6.61,
1978-11,6.72,
1978-12,6.82,
1979-01,7.14,
1979-02,7.36,
1979-03,7.41,
1979-04,7.68,
1979-05,8.07,
1979-06,8.11,
1979-07,7.75,
1979-08,7.57,
1979-09,7.45,
1979-10,8.03,
1979-11,7.82,
1979-12,7.89,
1980-01,8.10,
1980-02,8.91,
1980-03,9.75,
1980-04,8.91,
1980-05,8.21,
1980-06,7.97,
1980-07,7.74,
1980-08,7.91,
1980-09,8.23,
1980-10,8.46,
1980-11,8.64,
1980-12,8.94,
1981-01,9.04,
1981-02,10.24,
1981-03,9.63,
1981-04,9.72,
1981-05,10.22,
1981-06,9.88,
1981-07,9.96,
1981-08,10.06,
1981-09,9.98,
1981-10,9.85,
1981-11,9.61,
1981-12,9.61,
1982-01,9.67,
1982-02,9.64,
