"",BBK01.WZ9820,BBK01.WZ9820_FLAGS
"",Term structure of interest rates on listed Federal securities (method by Svensson) / residual maturity of 7.0 years / end of month,
unit,PROZENT,
unit multiplier,one,
last update,2018-05-02 14:39:40,
1972-09,7.86,
1972-10,8.29,
1972-11,8.43,
1972-12,8.50,
1973-01,8.55,
1973-02,8.40,
1973-03,8.56,
1973-04,8.78,
1973-05,9.51,
1973-06,9.67,
1973-07,9.83,
1973-08,9.41,
1973-09,9.57,
1973-10,9.39,
1973-11,9.45,
1973-12,9.55,
1974-01,9.49,
1974-02,10.21,
1974-03,10.31,
1974-04,10.27,
1974-05,10.68,
1974-06,10.71,
1974-07,10.80,
1974-08,10.71,
1974-09,10.78,
1974-10,10.70,
1974-11,10.13,
1974-12,9.76,
1975-01,9.12,
1975-02,8.98,
1975-03,9.07,
1975-04,8.69,
1975-05,8.58,
1975-06,8.51,
1975-07,8.51,
1975-08,8.48,
1975-09,8.48,
1975-10,8.74,
1975-11,8.67,
1975-12,8.60,
1976-01,8.37,
1976-02,8.21,
1976-03,8.02,
1976-04,8.14,
1976-05,8.47,
1976-06,8.47,
1976-07,8.57,
1976-08,8.35,
1976-09,8.12,
1976-10,7.93,
1976-11,7.59,
1976-12,7.51,
1977-01,7.34,
1977-02,7.29,
1977-03,6.79,
1977-04,6.47,
1977-05,6.48,
1977-06,6.44,
1977-07,6.22,
1977-08,6.10,
1977-09,6.07,
1977-10,6.05,
1977-11,6.05,
1977-12,5.89,
1978-01,5.70,
1978-02,5.50,
1978-03,5.49,
1978-04,5.64,
1978-05,5.71,
1978-06,5.89,
1978-07,6.32,
1978-08,6.20,
1978-09,6.17,
1978-10,6.32,
1978-11,6.52,
1978-12,6.60,
1979-01,6.86,
1979-02,7.06,
1979-03,7.11,
1979-04,7.38,
1979-05,7.88,
1979-06,7.93,
1979-07,7.61,
1979-08,7.46,
1979-09,7.49,
1979-10,8.03,
1979-11,7.79,
1979-12,7.85,
1980-01,8.13,
1980-02,8.92,
1980-03,9.78,
1980-04,8.90,
1980-05,8.25,
1980-06,7.96,
1980-07,7.75,
1980-08,7.99,
1980-09,8.32,
1980-10,8.62,
1980-11,8.66,
1980-12,8.96,
1981-01,9.23,
1981-02,10.45,
1981-03,9.99,
1981-04,10.14,
1981-05,10.81,
1981-06,10.43,
1981-07,10.71,
1981-08,10.90,
1981-09,10.50,
1981-10,10.23,
1981-11,9.67,
1981-12,9.72,
1982-01,9.75,
1982-02,9.70,
1982-03,9.26,
1982-04,8.72,
1982-05,8.81,
1982-06,9.37,
1982-07,9.13,
1982-08,8.83,
1982-09,8.50,
1982-10,8.14,
