,1,2,3,4,5,6,7,8,9,10,11,12
1985,10.89,11.87,11.6,11.18,10.41,10.49,10.54,10.37,10.55,10.14,9.75,9.43
1986,10.01,9.63,9.21,8.98,9.21,9.04,9.09,8.93,9.18,9.16,8.82,8.65
1987,8.17,8.21,7.97,9.39,9.46,9.26,9.8,10.01,10.85,9.61,9.99,9.93
1988,9.14,8.94,9.41,9.74,9.81,9.67,9.98,10.36,10.21,9.82,10.07,10.26
1989,10.12,10.57,10.68,10.24,9.72,9.4,9.36,9.56,9.88,9.49,9.84,9.72
1990,10,10.89,11.17,11.81,11.19,10.91,10.91,10.78,11.41,11.04,10.52,10.38
1991,10,9.5,9.53,9.54,9.5,9.97,9.81,9.57,9.12,8.47,8.48,8.18
1992,8.21,8.29,8.78,8.77,8.33,7.82,6.95,6.96,7.86,7.37,7.92,7.84
1993,7.9,7.35,7.39,7.41,7.53,7.26,7,6.68,6.86,6.48,6.8,6.34
1994,6.04,6.72,7.8,7.81,8.26,9.04,9.23,8.52,8.68,8.88,8.97,9.08
1995,9.3,8.65,8.44,8.14,7.67,7.56,8.04,7.78,7.68,7.68,6.93,6.99
1996,6.77,7.3,7.41,7.51,7.4,7.44,7.28,6.96,6.73,6.02,5.68,6.02
1997,6.27,5.99,6.27,6.37,6.3,5.76,5.51,5.73,5.38,5.2,5.34,5.48
1998,5.23,5.35,5.2,5.39,5.27,5.33,5.46,5.69,4.84,4.79,5.11,4.82
1999,4.87,5.28,5.05,5.12,5.44,5.48,5.63,5.57,5.75,6.28,6.04,6.18
2000,6.45,6.32,6.16,6.2,6.19,6.06,6.01,5.92,5.82,5.8,5.62,5.34
2001,5.2,5.14,5.3,5.52,5.86,5.63,5.64,5.23,5,4.54,5.1,5.13
2002,5.11,5,5.58,5.35,5.21,5,4.75,4.84,4.59,4.76,4.79,4.47
2003,4.62,4.54,4.79,4.53,4.09,3.92,4.23,4.41,4.27,4.48,4.45,4.3
2004,4.17,3.94,3.83,4.26,4.38,4.46,4.45,4.4,4.3,4.23,4.14,4.08
2005,3.87,3.96,4.12,3.84,3.74,3.49,3.63,3.57,3.74,3.99,3.94,3.87
2006,4.03,4.05,4.19,4.45,4.39,4.58,4.31,4.06,3.92,4.11,3.87,3.98
2007,4.12,3.98,4.03,4.12,4.5,4.63,4.59,4.33,4.34,4.24,3.97,4.02
2008,3.66,3.55,3.13,3.22,3.49,3.55,3.57,3.25,3.41,3.27,2.87,2.13
2009,2.42,2.31,2.16,2.26,2.84,2.82,2.91,2.74,2.82,2.97,2.74,3.08
2010,2.81,2.91,3.1,3.28,2.75,2.56,2.66,2.19,2.11,2.38,2.75,2.73
2011,2.85,2.89,2.88,2.83,2.73,2.66,2.46,2.02,1.73,1.9,1.71,1.52
2012,1.58,1.58,1.72,1.81,1.51,1.44,1.35,1.54,1.47,1.51,1.46,1.55
2013,1.7,1.53,1.56,1.42,1.78,2.2,2.11,2.26,2.19,2,2.04,2.17
2014,1.84,1.95,2.02,1.99,1.82,1.86,1.78,1.65,1.82,1.73,1.61,1.46
2015,1,0.97,0.99,1.27,1.33,1.4,1.12,1.05,1.11,1.11,1.23,1.04
2016,1.02,0.95,1,1.2,1.06,0.82,0.81,0.77,0.73,0.86,1.27,1.43
2017,1.46,1.37,1.27,1.19,1.13,1.43,1.76,1.65,1.96,1.84,1.72,1.9
