,1,2,3,4,5,6,7,8,9,10,11,12
1982,,,,,,16.26,15.88,13.6,12.89,11.41,10.74,10.14
1983,9.88,10.14,9.97,9.95,9.89,10.03,10.43,10.8,10.11,9.95,10.13,10.48
1984,10.35,10.84,11.62,12.32,13.15,13.09,13.15,12.43,12.22,11.69,10.88,10.53
1985,10.33,11.65,11.31,10.68,10.31,10.14,10.2,10.03,10.16,9.61,9.35,9.06
1986,9.85,9.63,9.06,8.38,8.8,8.62,8.92,8.8,8.98,8.88,8.54,8.49
1987,7.76,7.84,7.66,9.2,9.2,8.97,9.66,9.84,10.64,9.49,9.74,9.71
1988,8.98,8.77,9.02,9.28,9.42,9.34,9.69,10.29,10.06,9.63,10.1,10.27
1989,10.22,10.88,11.16,10.5,10.05,9.61,9.52,9.9,9.99,9.76,10.38,10.38
1990,10.2,11.44,11.68,12.49,11.65,11.29,11.27,10.76,11.17,10.97,10.49,10.41
1991,9.92,9.37,9.36,9.28,9.14,9.52,9.45,9.16,8.67,7.8,7.96,7.69
1992,7.65,7.78,8.36,8.17,7.49,6.97,5.98,5.98,7.05,6.28,6.92,7.08
1993,7.14,6.66,6.62,6.75,6.61,6.35,5.87,5.71,5.96,5.34,5.33,4.91
1994,4.5,5.26,7.25,7.21,7.78,8.66,8.62,7.94,7.85,8,8.34,9
1995,9.14,8.33,8.14,7.84,7.22,6.99,7.47,7.28,7.23,7.22,6.36,6.16
1996,5.71,6.19,6.42,6.53,6.45,6.6,6.38,5.95,5.47,4.78,4.22,4.85
1997,4.94,4.73,5.12,5.35,5.23,4.76,4.81,4.85,4.72,4.78,5.01,5.32
1998,5,5.2,5.04,5.27,5.2,5.32,5.44,5.65,4.83,4.69,5.06,4.83
1999,4.82,5.25,4.95,4.9,5.28,5.28,5.5,5.48,5.53,6.17,5.96,6.01
2000,6.24,6.21,6.16,6.2,6.23,6.08,6.04,5.92,5.81,5.79,5.66,5.3
2001,4.96,4.91,4.94,5.1,5.44,5.24,5.19,4.73,4.04,3.36,3.89,3.79
2002,3.8,3.75,4.62,4.32,4.25,3.96,3.46,4.04,3.78,3.82,3.86,3.55
2003,3.8,3.74,4.06,3.79,3.3,3.17,3.05,3.36,3.32,3.47,3.47,3.26
2004,2.97,2.69,2.98,3.44,3.63,3.74,3.76,3.51,3.51,3.45,3.38,3.26
2005,3.02,3.14,3.58,3.29,3.2,3,3.17,3.12,3.37,3.67,3.8,3.83
2006,3.87,3.96,4.07,4.3,4.25,4.5,4.19,4.01,3.88,4.09,3.87,3.95
2007,4.09,3.94,3.98,4.12,4.55,4.66,4.67,4.27,4.25,4.22,3.85,3.94
2008,3.3,3.17,2.67,2.92,3.19,3.35,3.23,2.89,3.03,2.38,2,1.32
2009,1.61,1.72,1.51,1.39,1.84,1.89,1.94,1.79,1.89,1.9,1.62,1.88
2010,1.66,1.65,2.03,2.49,2,1.75,1.82,1.53,1.58,1.59,1.94,1.9
2011,1.91,2.15,2.13,2.11,1.91,1.86,1.71,1.27,1.07,1.23,1.1,0.99
2012,1.06,1.22,1.32,1.53,1.16,1.04,1,1.23,1.16,1.17,1.16,1.2
2013,1.25,1.08,1.1,1.03,1.18,1.35,1.27,1.32,1.42,1.22,1.19,1.2
2014,1.16,1.19,1.23,1.18,1.11,1.2,1.14,1.12,1.17,1.16,1.11,1.06
2015,0.43,0.45,0.48,0.68,0.64,0.59,0.45,0.44,0.54,0.56,0.68,0.5
2016,0.42,0.48,0.52,0.73,0.67,0.55,0.58,0.58,0.51,0.57,0.75,0.87
2017,0.99,0.93,0.84,0.81,0.75,1.12,1.34,1.32,1.64,1.52,1.48,1.71
