Date,6,
1999-03-01,0.091,
1999-02-01,0.076,
1999-01-01,0.218,
1998-12-01,0.333,
1998-11-01,0.085,
1998-10-01,0.005,
1998-09-01,0.094,
1998-08-01,0.251,
1998-07-01,0.322,
1998-06-01,0.343,
1998-05-01,0.365,
1998-04-01,0.455,
1998-03-01,0.51,
1998-02-01,0.47,
1998-01-01,0.38,
1997-12-01,0.335,
1997-11-01,0.155,
1997-10-01,0.395,
1997-09-01,0.43,
1997-08-01,0.39,
1997-07-01,0.515,
1997-06-01,0.53,
1997-05-01,0.5,
1997-04-01,0.5,
1997-03-01,0.416,
1997-02-01,0.289,
1997-01-01,0.22,
1996-12-01,0.295,
1996-11-01,0.215,
1996-10-01,0.315,
1996-09-01,0.418,
1996-08-01,0.43,
1996-07-01,0.61,
1996-06-01,0.541,
1996-05-01,0.465,
1996-04-01,0.58,
1996-03-01,0.504,
1996-02-01,0.528,
1996-01-01,0.41,
1995-12-01,0.335,
1995-11-01,0.185,
1995-10-01,0.15,
1995-09-01,0.34,
1995-08-01,0.616,
1995-07-01,0.6,
1995-06-01,1.09,
1995-05-01,1.05,
1995-04-01,1.355,
1995-03-01,1.75,
1995-02-01,2.165,
1995-01-01,2.19,
1994-12-01,2.28,
1994-11-01,2.32,
1994-10-01,2.37,
1994-09-01,2.33,
1994-08-01,2.31,
1994-07-01,2.17,
1994-06-01,2.013,
1994-05-01,2.1,
1994-04-01,2.28,
1994-03-01,2.11,
1994-02-01,2.1,
