"",BBK01.WZ9814,BBK01.WZ9814_FLAGS
"",Term structure of interest rates on listed Federal securities (method by Svensson) / residual maturity of 4.0 years / end of month,
unit,PROZENT,
unit multiplier,one,
last update,2018-05-02 14:39:40,
1972-09,7.32,
1972-10,8.10,
1972-11,8.16,
1972-12,8.30,
1973-01,8.16,
1973-02,8.10,
1973-03,8.41,
1973-04,8.69,
1973-05,9.44,
1973-06,9.35,
1973-07,9.99,
1973-08,9.38,
1973-09,9.54,
1973-10,9.34,
1973-11,9.28,
1973-12,9.21,
1974-01,9.27,
1974-02,10.00,
1974-03,10.03,
1974-04,10.05,
1974-05,10.44,
1974-06,10.06,
1974-07,10.11,
1974-08,10.14,
1974-09,10.19,
1974-10,10.18,
1974-11,9.46,
1974-12,9.24,
1975-01,8.35,
1975-02,8.00,
1975-03,8.07,
1975-04,7.82,
1975-05,7.57,
1975-06,7.64,
1975-07,7.60,
1975-08,7.63,
1975-09,7.64,
1975-10,7.90,
1975-11,7.81,
1975-12,7.80,
1976-01,7.56,
1976-02,7.20,
1976-03,7.08,
1976-04,7.20,
1976-05,7.54,
1976-06,7.60,
1976-07,7.77,
1976-08,7.70,
1976-09,7.56,
1976-10,7.40,
1976-11,7.05,
1976-12,7.08,
1977-01,6.81,
1977-02,6.74,
1977-03,6.29,
1977-04,5.98,
1977-05,5.91,
1977-06,5.85,
1977-07,5.57,
1977-08,5.35,
1977-09,5.37,
1977-10,5.37,
1977-11,5.37,
1977-12,5.22,
1978-01,5.08,
1978-02,4.88,
1978-03,4.91,
1978-04,4.94,
1978-05,5.17,
1978-06,5.41,
1978-07,5.92,
1978-08,5.91,
1978-09,5.81,
1978-10,5.84,
1978-11,6.03,
1978-12,6.11,
1979-01,6.33,
1979-02,6.60,
1979-03,6.75,
1979-04,7.15,
1979-05,7.66,
1979-06,7.77,
1979-07,7.60,
1979-08,7.51,
1979-09,7.58,
1979-10,8.07,
1979-11,7.91,
1979-12,7.92,
1980-01,8.22,
1980-02,8.95,
1980-03,9.87,
1980-04,8.97,
1980-05,8.40,
1980-06,7.96,
1980-07,7.73,
1980-08,7.93,
1980-09,8.26,
1980-10,8.54,
1980-11,8.70,
1980-12,9.02,
1981-01,9.26,
1981-02,10.54,
1981-03,10.20,
1981-04,10.57,
1981-05,11.58,
1981-06,11.05,
1981-07,11.44,
1981-08,11.76,
1981-09,11.11,
1981-10,10.47,
1981-11,9.71,
1981-12,9.85,
1982-01,9.83,
1982-02,9.75,
1982-03,9.29,
1982-04,8.76,
1982-05,8.80,
1982-06,9.40,
1982-07,9.28,
1982-08,8.78,
1982-09,8.52,
1982-10,8.05,
1982-11,8.10,
1982-12,7.69,
1983-01,7.49,
1983-02,7.37,
1983-03,7.11,
1983-04,7.28,
1983-05,7.82,
1983-06,7.95,
1983-07,8.08,
1983-08,8.28,
1983-09,8.19,
1983-10,7.90,
1983-11,8.05,
1983-12,8.10,
1984-01,8.01,
1984-02,7.65,
1984-03,7.61,
1984-04,7.66,
1984-05,7.88,
1984-06,7.81,
1984-07,7.88,
1984-08,7.51,
1984-09,7.31,
1984-10,7.01,
1984-11,6.74,
1984-12,6.70,
1985-01,6.94,
