"",BBK01.WZ9807,BBK01.WZ9807_FLAGS
"",Term structure of interest rates on listed Federal securities (method by Svensson) / residual maturity of 0.5 years / end of month,
unit,PROZENT,
unit multiplier,one,
last update,2018-05-02 14:39:40,
1972-09,12.20,
1972-10,6.86,
1972-11,13.64,
1972-12,5.26,
1973-01,6.18,
1973-02,9.92,
1973-03,6.27,
1973-04,6.13,
1973-05,8.57,
1973-06,15.01,
1973-07,10.00,
1973-08,8.84,
1973-09,9.24,
1973-10,6.22,
1973-11,10.70,
1973-12,11.31,
1974-01,9.48,
1974-02,10.66,
1974-03,10.03,
1974-04,9.98,
1974-05,8.14,
1974-06,13.25,
1974-07,9.48,
1974-08,9.69,
1974-09,9.73,
1974-10,9.16,
1974-11,8.91,
1974-12,8.70,
1975-01,7.84,
1975-02,6.50,
1975-03,6.32,
1975-04,5.26,
1975-05,5.25,
1975-06,5.23,
1975-07,4.90,
1975-08,4.45,
1975-09,5.15,
1975-10,7.56,
1975-11,5.80,
1975-12,5.74,
1976-01,5.11,
1976-02,4.55,
1976-03,5.40,
1976-04,4.04,
1976-05,5.90,
1976-06,5.22,
1976-07,5.19,
1976-08,5.10,
1976-09,4.73,
1976-10,5.13,
1976-11,4.69,
1976-12,5.56,
1977-01,4.66,
1977-02,4.46,
1977-03,4.48,
1977-04,4.45,
1977-05,4.50,
1977-06,4.41,
1977-07,4.29,
1977-08,3.95,
1977-09,3.94,
1977-10,3.90,
1977-11,3.75,
1977-12,3.26,
1978-01,5.67,
1978-02,3.22,
1978-03,3.13,
1978-04,2.99,
1978-05,6.12,
1978-06,4.43,
1978-07,5.00,
1978-08,3.57,
1978-09,3.61,
1978-10,3.54,
1978-11,3.93,
1978-12,3.53,
1979-01,3.20,
1979-02,4.33,
1979-03,5.56,
1979-04,6.07,
1979-05,6.26,
1979-06,6.19,
1979-07,6.07,
1979-08,7.07,
1979-09,7.42,
1979-10,8.39,
1979-11,8.57,
1979-12,8.63,
1980-01,8.35,
1980-02,8.95,
1980-03,9.87,
1980-04,9.80,
1980-05,9.82,
1980-06,8.77,
1980-07,8.43,
1980-08,8.51,
1980-09,8.95,
1980-10,8.88,
1980-11,9.29,
1980-12,9.54,
1981-01,9.40,
1981-02,11.72,
1981-03,12.63,
1981-04,12.81,
1981-05,13.09,
1981-06,12.78,
1981-07,13.24,
1981-08,13.73,
1981-09,12.49,
1981-10,11.82,
1981-11,10.27,
1981-12,10.68,
1982-01,10.16,
1982-02,10.27,
1982-03,9.65,
1982-04,9.08,
1982-05,8.82,
1982-06,9.43,
1982-07,9.34,
1982-08,8.68,
1982-09,8.36,
1982-10,7.56,
1982-11,7.44,
1982-12,6.84,
1983-01,5.71,
1983-02,5.61,
1983-03,5.62,
1983-04,5.81,
1983-05,5.92,
1983-06,5.74,
1983-07,5.88,
1983-08,6.15,
1983-09,6.16,
1983-10,6.04,
1983-11,6.41,
1983-12,6.51,
1984-01,6.17,
1984-02,5.93,
1984-03,6.08,
1984-04,5.83,
1984-05,6.22,
1984-06,6.24,
1984-07,6.29,
1984-08,6.09,
1984-09,5.96,
1984-10,5.98,
1984-11,5.87,
1984-12,5.60,
1985-01,6.05,
1985-02,6.42,
1985-03,6.21,
1985-04,5.92,
1985-05,5.64,
1985-06,5.43,
1985-07,5.08,
1985-08,4.68,
1985-09,4.58,
1985-10,5.11,
1985-11,4.88,
1985-12,4.87,
1986-01,4.59,
1986-02,4.28,
1986-03,4.36,
1986-04,4.48,
1986-05,4.53,
1986-06,4.60,
1986-07,4.71,
1986-08,4.50,
1986-09,4.73,
1986-10,4.73,
1986-11,4.65,
1986-12,4.92,
1987-01,3.99,
1987-02,3.92,
1987-03,4.13,
1987-04,3.93,
1987-05,3.68,
1987-06,3.77,
1987-07,4.05,
1987-08,4.23,
1987-09,4.42,
1987-10,3.89,
1987-11,3.80,
1987-12,3.79,
1988-01,3.39,
1988-02,3.46,
1988-03,3.59,
1988-04,3.57,
1988-05,3.71,
1988-06,4.41,
1988-07,5.17,
1988-08,5.49,
1988-09,5.29,
1988-10,4.98,
1988-11,5.24,
1988-12,5.63,
1989-01,6.04,
1989-02,6.79,
1989-03,6.59,
1989-04,6.55,
1989-05,7.18,
1989-06,6.92,
1989-07,6.76,
1989-08,6.98,
1989-09,7.40,
1989-10,7.82,
1989-11,8.03,
1989-12,7.83,
1990-01,8.16,
1990-02,8.70,
1990-03,8.41,
1990-04,8.51,
1990-05,8.41,
1990-06,8.39,
1990-07,8.26,
1990-08,8.73,
1990-09,8.70,
1990-10,8.49,
1990-11,8.96,
1990-12,9.19,
1991-01,8.86,
1991-02,8.73,
1991-03,8.77,
1991-04,8.97,
1991-05,8.70,
1991-06,8.97,
1991-07,9.28,
1991-08,8.87,
1991-09,9.00,
1991-10,9.07,
1991-11,9.19,
1991-12,8.91,
1992-01,9.21,
1992-02,9.22,
1992-03,9.04,
1992-04,9.43,
1992-05,9.54,
1992-06,9.38,
1992-07,9.48,
1992-08,9.63,
1992-09,8.39,
1992-10,7.89,
1992-11,7.85,
1992-12,7.97,
1993-01,7.58,
1993-02,7.46,
1993-03,7.24,
1993-04,7.38,
1993-05,7.00,
1993-06,7.02,
1993-07,6.77,
1993-08,6.22,
1993-09,6.21,
1993-10,6.02,
1993-11,5.65,
1993-12,5.64,
1994-01,5.50,
1994-02,5.71,
1994-03,5.57,
1994-04,5.36,
1994-05,5.15,
1994-06,5.03,
1994-07,5.00,
1994-08,5.08,
1994-09,5.34,
1994-10,5.25,
1994-11,5.34,
1994-12,5.45,
1995-01,5.28,
1995-02,5.31,
1995-03,4.90,
1995-04,4.60,
1995-05,4.48,
1995-06,4.61,
1995-07,4.47,
1995-08,4.24,
1995-09,4.02,
1995-10,4.02,
1995-11,3.82,
1995-12,3.69,
1996-01,3.19,
1996-02,3.29,
1996-03,3.22,
1996-04,3.15,
1996-05,3.26,
1996-06,3.39,
1996-07,3.35,
1996-08,3.19,
1996-09,3.08,
1996-10,3.18,
1996-11,3.19,
1996-12,3.16,
1997-01,3.09,
1997-02,3.23,
1997-03,3.27,
1997-04,3.22,
1997-05,3.18,
1997-06,3.09,
1997-07,3.18,
1997-08,3.31,
1997-09,3.44,
1997-10,3.74,
1997-11,3.81,
1997-12,3.65,
1998-01,3.52,
1998-02,3.51,
1998-03,3.61,
1998-04,3.72,
1998-05,3.59,
1998-06,3.41,
1998-07,3.58,
1998-08,3.43,
1998-09,3.50,
1998-10,3.41,
1998-11,3.33,
1998-12,3.02,
1999-01,2.90,
1999-02,2.98,
1999-03,2.85,
1999-04,2.55,
1999-05,2.58,
1999-06,2.69,
1999-07,2.74,
1999-08,2.88,
1999-09,2.84,
1999-10,3.26,
1999-11,3.41,
1999-12,3.46,
2000-01,3.63,
2000-02,3.79,
2000-03,3.96,
2000-04,4.18,
2000-05,4.61,
2000-06,4.69,
2000-07,4.86,
2000-08,5.09,
