"",BBK01.WZ9816,BBK01.WZ9816_FLAGS
"",Term structure of interest rates on listed Federal securities (method by Svensson) / residual maturity of 5.0 years / end of month,
unit,PROZENT,
unit multiplier,one,
last update,2018-05-02 14:39:40,
1972-09,7.58,
1972-10,8.19,
1972-11,8.29,
1972-12,8.34,
1973-01,8.33,
1973-02,8.24,
1973-03,8.48,
1973-04,8.73,
1973-05,9.46,
1973-06,9.48,
1973-07,9.89,
1973-08,9.39,
1973-09,9.55,
1973-10,9.36,
1973-11,9.31,
1973-12,9.30,
1974-01,9.34,
1974-02,10.04,
1974-03,10.12,
1974-04,10.11,
1974-05,10.55,
1974-06,10.29,
1974-07,10.36,
1974-08,10.33,
1974-09,10.41,
1974-10,10.39,
1974-11,9.74,
1974-12,9.45,
1975-01,8.68,
1975-02,8.41,
1975-03,8.49,
1975-04,8.21,
1975-05,8.02,
1975-06,8.03,
1975-07,8.02,
1975-08,8.02,
1975-09,8.01,
1975-10,8.29,
1975-11,8.25,
1975-12,8.23,
1976-01,7.97,
1976-02,7.70,
1976-03,7.51,
1976-04,7.63,
1976-05,7.95,
1976-06,7.99,
1976-07,8.12,
1976-08,7.97,
1976-09,7.82,
1976-10,7.64,
1976-11,7.33,
1976-12,7.28,
1977-01,7.06,
1977-02,6.99,
1977-03,6.50,
1977-04,6.20,
1977-05,6.15,
1977-06,6.10,
1977-07,5.82,
1977-08,5.63,
1977-09,5.64,
1977-10,5.62,
1977-11,5.63,
1977-12,5.46,
1978-01,5.29,
1978-02,5.10,
1978-03,5.13,
1978-04,5.21,
1978-05,5.38,
1978-06,5.60,
1978-07,6.09,
1978-08,6.03,
1978-09,5.96,
1978-10,6.03,
1978-11,6.25,
1978-12,6.32,
1979-01,6.54,
1979-02,6.78,
1979-03,6.89,
1979-04,7.22,
1979-05,7.74,
1979-06,7.82,
1979-07,7.58,
1979-08,7.47,
1979-09,7.53,
1979-10,8.04,
1979-11,7.84,
1979-12,7.87,
1980-01,8.18,
1980-02,8.94,
1980-03,9.83,
1980-04,8.92,
1980-05,8.32,
1980-06,7.95,
1980-07,7.72,
1980-08,7.96,
1980-09,8.29,
1980-10,8.60,
1980-11,8.68,
1980-12,8.99,
1981-01,9.27,
1981-02,10.52,
1981-03,10.14,
1981-04,10.44,
1981-05,11.30,
1981-06,10.82,
1981-07,11.22,
1981-08,11.49,
1981-09,10.89,
1981-10,10.40,
1981-11,9.69,
1981-12,9.79,
1982-01,9.80,
1982-02,9.73,
1982-03,9.29,
1982-04,8.76,
1982-05,8.82,
1982-06,9.40,
1982-07,9.24,
1982-08,8.80,
1982-09,8.53,
1982-10,8.11,
1982-11,8.13,
1982-12,7.76,
1983-01,7.67,
1983-02,7.53,
1983-03,7.34,
1983-04,7.47,
1983-05,7.97,
1983-06,8.03,
1983-07,8.18,
1983-08,8.38,
