"",BBK01.WZ9810,BBK01.WZ9810_FLAGS
"",Term structure of interest rates on listed Federal securities (method by Svensson) / residual maturity of 2.0 years / end of month,
unit,PROZENT,
unit multiplier,one,
last update,2018-05-02 14:39:40,
1972-09,6.26,
1972-10,7.68,
1972-11,7.88,
1972-12,8.07,
1973-01,7.32,
1973-02,7.25,
1973-03,7.82,
1973-04,8.69,
1973-05,9.33,
1973-06,9.10,
1973-07,10.25,
1973-08,9.30,
1973-09,9.48,
1973-10,9.24,
1973-11,9.60,
1973-12,9.48,
1974-01,9.26,
1974-02,10.14,
1974-03,9.99,
1974-04,10.02,
1974-05,9.87,
1974-06,9.57,
1974-07,9.63,
1974-08,9.79,
1974-09,9.78,
1974-10,9.63,
1974-11,8.84,
1974-12,8.77,
1975-01,7.56,
1975-02,6.93,
1975-03,6.95,
1975-04,6.59,
1975-05,6.30,
1975-06,6.49,
1975-07,6.33,
1975-08,6.38,
1975-09,6.43,
1975-10,6.48,
1975-11,6.51,
1975-12,6.40,
1976-01,6.06,
1976-02,5.64,
1976-03,5.59,
1976-04,5.59,
1976-05,6.11,
1976-06,6.14,
1976-07,6.74,
1976-08,6.78,
1976-09,6.51,
1976-10,6.46,
1976-11,5.93,
1976-12,6.08,
1977-01,5.98,
1977-02,5.91,
1977-03,5.41,
1977-04,5.14,
1977-05,5.03,
1977-06,4.94,
1977-07,4.92,
1977-08,4.77,
1977-09,4.72,
1977-10,4.75,
1977-11,4.77,
1977-12,4.70,
1978-01,4.32,
1978-02,4.24,
1978-03,4.21,
1978-04,4.18,
1978-05,4.34,
1978-06,4.68,
1978-07,5.10,
1978-08,5.29,
1978-09,5.13,
1978-10,5.11,
1978-11,5.12,
1978-12,5.29,
1979-01,5.59,
1979-02,5.82,
1979-03,6.05,
1979-04,6.83,
1979-05,7.36,
1979-06,7.53,
1979-07,7.60,
1979-08,7.55,
1979-09,7.77,
1979-10,8.25,
1979-11,8.19,
1979-12,8.19,
1980-01,8.39,
1980-02,9.05,
1980-03,10.03,
1980-04,9.23,
1980-05,8.80,
1980-06,8.23,
1980-07,7.92,
1980-08,7.98,
1980-09,8.26,
1980-10,8.46,
1980-11,8.80,
1980-12,9.15,
1981-01,9.23,
1981-02,10.75,
1981-03,10.64,
1981-04,10.88,
1981-05,12.24,
1981-06,11.84,
1981-07,11.92,
1981-08,12.33,
1981-09,11.65,
1981-10,10.83,
1981-11,9.88,
1981-12,10.11,
1982-01,10.02,
1982-02,9.83,
1982-03,9.28,
1982-04,8.77,
1982-05,8.76,
1982-06,9.38,
1982-07,9.20,
1982-08,8.66,
1982-09,8.22,
1982-10,7.70,
1982-11,7.68,
1982-12,7.09,
1983-01,6.65,
1983-02,6.60,
1983-03,6.11,
1983-04,6.36,
1983-05,7.07,
1983-06,7.31,
1983-07,7.38,
1983-08,7.63,
1983-09,7.70,
1983-10,7.48,
1983-11,7.56,
1983-12,7.70,
1984-01,7.38,
1984-02,6.98,
1984-03,6.83,
1984-04,6.78,
1984-05,7.13,
1984-06,7.16,
1984-07,7.33,
1984-08,6.97,
1984-09,6.71,
1984-10,6.45,
1984-11,6.17,
1984-12,6.04,
1985-01,6.32,
1985-02,7.09,
1985-03,6.90,
1985-04,6.60,
1985-05,6.18,
1985-06,5.95,
1985-07,5.68,
1985-08,5.19,
1985-09,5.23,
1985-10,5.68,
1985-11,5.44,
1985-12,5.30,
1986-01,5.13,
1986-02,4.93,
1986-03,4.74,
1986-04,4.69,
1986-05,5.03,
1986-06,5.02,
1986-07,4.84,
1986-08,4.76,
1986-09,4.82,
