"",BBK01.WZ9824,BBK01.WZ9824_FLAGS
"",Term structure of interest rates on listed Federal securities (method by Svensson) / residual maturity of 9.0 years / end of month,
unit,PROZENT,
unit multiplier,one,
last update,2018-05-02 14:39:40,
1972-09,8.02,
1972-10,8.34,
1972-11,8.52,
1972-12,8.66,
1973-01,8.74,
1973-02,8.54,
1973-03,8.66,
1973-04,8.81,
1973-05,9.58,
1973-06,9.80,
1973-07,9.85,
1973-08,9.42,
1973-09,9.57,
1973-10,9.40,
1973-11,9.60,
1973-12,9.75,
1974-01,9.61,
1974-02,10.42,
1974-03,10.46,
1974-04,10.41,
1974-05,10.76,
1974-06,11.07,
1974-07,11.16,
1974-08,11.03,
1974-09,11.06,
1974-10,10.90,
1974-11,10.38,
1974-12,9.97,
1975-01,9.39,
1975-02,9.33,
1975-03,9.44,
1975-04,8.97,
1975-05,8.77,
1975-06,8.72,
1975-07,8.70,
1975-08,8.68,
1975-09,8.75,
1975-10,9.00,
1975-11,8.68,
1975-12,8.59,
1976-01,8.51,
1976-02,8.34,
1976-03,8.24,
1976-04,8.43,
1976-05,8.77,
1976-06,8.74,
1976-07,8.83,
1976-08,8.59,
1976-09,8.29,
1976-10,8.08,
1976-11,7.65,
1976-12,7.68,
1977-01,7.42,
1977-02,7.39,
1977-03,6.99,
1977-04,6.66,
1977-05,6.74,
1977-06,6.70,
1977-07,6.51,
1977-08,6.43,
1977-09,6.38,
1977-10,6.37,
1977-11,6.33,
1977-12,6.21,
1978-01,6.10,
1978-02,5.87,
1978-03,5.81,
1978-04,5.94,
1978-05,5.96,
1978-06,6.10,
1978-07,6.47,
1978-08,6.35,
1978-09,6.32,
1978-10,6.53,
1978-11,6.66,
1978-12,6.76,
1979-01,7.06,
1979-02,7.27,
1979-03,7.31,
1979-04,7.58,
1979-05,8.01,
1979-06,8.05,
1979-07,7.70,
1979-08,7.53,
1979-09,7.46,
1979-10,8.03,
1979-11,7.80,
1979-12,7.87,
1980-01,8.11,
1980-02,8.91,
1980-03,9.76,
1980-04,8.91,
1980-05,8.22,
1980-06,7.97,
1980-07,7.75,
1980-08,7.95,
1980-09,8.27,
1980-10,8.53,
1980-11,8.64,
1980-12,8.94,
1981-01,9.11,
1981-02,10.32,
1981-03,9.76,
1981-04,9.85,
1981-05,10.40,
1981-06,10.06,
1981-07,10.20,
1981-08,10.32,
1981-09,10.15,
1981-10,9.99,
1981-11,9.64,
1981-12,9.64,
1982-01,9.70,
1982-02,9.66,
1982-03,9.21,
1982-04,8.66,
1982-05,8.73,
1982-06,9.29,
1982-07,9.03,
1982-08,8.84,
1982-09,8.47,
1982-10,8.14,
1982-11,8.09,
1982-12,7.81,
1983-01,8.00,
1983-02,7.75,
1983-03,7.69,
1983-04,7.83,
1983-05,8.24,
1983-06,8.12,
1983-07,8.30,
1983-08,8.58,
1983-09,8.41,
1983-10,8.39,
1983-11,8.46,
1983-12,8.40,
1984-01,8.39,
1984-02,8.21,
1984-03,8.29,
1984-04,8.31,
1984-05,8.42,
1984-06,8.33,
1984-07,8.37,
1984-08,8.03,
1984-09,7.91,
1984-10,7.59,
1984-11,7.33,
1984-12,7.30,
1985-01,7.45,
1985-02,7.82,
1985-03,7.49,
1985-04,7.46,
1985-05,7.23,
1985-06,7.17,
1985-07,7.06,
1985-08,6.66,
1985-09,6.64,
1985-10,7.00,
1985-11,6.86,
1985-12,6.65,
1986-01,6.67,
1986-02,6.25,
1986-03,5.98,
1986-04,5.75,
1986-05,6.22,
1986-06,6.11,
1986-07,6.05,
1986-08,5.86,
1986-09,6.23,
1986-10,6.49,
1986-11,6.17,
1986-12,6.19,
1987-01,6.10,
1987-02,6.25,
1987-03,5.92,
1987-04,5.89,
1987-05,5.88,
1987-06,6.36,
1987-07,6.52,
1987-08,6.70,
1987-09,7.02,
1987-10,6.66,
1987-11,6.50,
1987-12,6.66,
1988-01,6.69,
1988-02,6.40,
1988-03,6.43,
1988-04,6.71,
1988-05,6.86,
1988-06,6.82,
1988-07,7.00,
1988-08,6.92,
1988-09,6.67,
1988-10,6.38,
1988-11,6.60,
1988-12,6.67,
1989-01,6.78,
1989-02,7.02,
1989-03,7.01,
1989-04,6.89,
1989-05,7.07,
1989-06,6.85,
1989-07,6.66,
1989-08,6.89,
1989-09,7.04,
1989-10,7.18,
1989-11,7.49,
1989-12,7.43,
1990-01,7.94,
1990-02,8.84,
1990-03,8.56,
1990-04,8.99,
1990-05,8.90,
1990-06,8.82,
1990-07,8.62,
1990-08,9.07,
1990-09,9.26,
1990-10,9.07,
